epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1434.27,1.71159,2.49482,1.80355,0.08787,0.0493,0.01875,0.00658,2.66914,5.68374,3.1323,0.00333067,0.00333067,0.00333067
2,2895.9,1.68974,2.42145,1.78432,0.21703,0.21854,0.1367,0.05043,2.19141,3.37777,2.26227,0.00653205,0.00653205,0.00653205
3,4335.51,1.72448,2.46986,1.80835,0.25595,0.23179,0.16396,0.05857,2.12571,3.72595,2.22808,0.00960144,0.00960144,0.00960144
4,5703.96,1.81071,2.58445,1.86628,0.19049,0.195,0.10891,0.04008,2.27448,3.71779,2.28754,0.009406,0.009406,0.009406
5,7132.82,1.80205,2.56755,1.85742,0.18181,0.19205,0.09884,0.03312,2.14755,3.95819,2.27196,0.009208,0.009208,0.009208
6,8570.5,1.82686,2.59607,1.87689,0.32148,0.24945,0.20179,0.06749,1.96133,3.90185,2.05644,0.00901,0.00901,0.00901
7,10053.6,1.82041,2.60382,1.86647,0.26147,0.16725,0.12221,0.04629,2.21186,3.87016,2.35607,0.008812,0.008812,0.008812
8,11535.1,1.83124,2.6133,1.87686,0.29003,0.25607,0.18026,0.06411,1.97818,3.26735,2.05663,0.008614,0.008614,0.008614
9,1426.79,1.76534,2.53573,1.8245,0.23995,0.19941,0.12412,0.0458,2.13775,3.90904,2.20809,0.008416,0.008416,0.008416
10,2891.91,1.74317,2.48444,1.81154,0.29216,0.27,0.20781,0.07564,2.02009,3.24322,2.07542,0.008218,0.008218,0.008218
11,4361.65,1.73293,2.47611,1.80548,0.3125,0.28771,0.22487,0.08257,2.02708,3.02928,2.0894,0.00802,0.00802,0.00802
12,5740.49,1.75612,2.50371,1.82574,0.30184,0.32892,0.2516,0.08904,1.99467,3.05321,2.06959,0.007822,0.007822,0.007822
13,7135.08,1.74575,2.48809,1.81905,0.31624,0.32082,0.23877,0.08618,1.91883,3.0518,2.02233,0.007624,0.007624,0.007624
14,8540.27,1.77408,2.51817,1.84256,0.30432,0.2752,0.21033,0.07298,1.99505,3.28585,2.07425,0.007426,0.007426,0.007426
