epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1500.2,1.81851,2.70956,1.89399,0.18517,0.23767,0.12407,0.04363,2.09992,3.86407,2.1872,0.000666133,0.000666133,0.000666133
2,2940.27,1.90736,2.8372,1.95548,0.29922,0.25009,0.17962,0.06241,2.10121,3.28811,2.13351,0.00126683,0.00126683,0.00126683
3,4375.28,1.96552,2.91763,1.99437,0.22419,0.17954,0.11993,0.04101,2.19806,3.68971,2.31486,0.00180152,0.00180152,0.00180152
4,5775.94,1.96158,2.9027,1.98324,0.28625,0.25166,0.17746,0.05884,2.12636,3.70418,2.1669,0.001703,0.001703,0.001703
5,7281.65,1.95943,2.85147,1.98771,0.22902,0.28035,0.17217,0.06231,1.98814,4.12718,2.0665,0.001604,0.001604,0.001604
6,1480.82,1.9131,2.84193,1.96151,0.2092,0.27299,0.16869,0.05715,2.05139,4.60089,2.10055,0.001505,0.001505,0.001505
7,2979.98,1.88484,2.77588,1.94234,0.2891,0.23179,0.17544,0.06104,2.0913,3.11823,2.10735,0.001406,0.001406,0.001406
8,4451.56,1.86965,2.76125,1.92793,0.27785,0.25681,0.18191,0.06302,2.01583,3.54322,2.12305,0.001307,0.001307,0.001307
9,5892.57,1.8558,2.71892,1.91528,0.28294,0.28403,0.21839,0.08069,1.98904,3.02774,2.02359,0.001208,0.001208,0.001208
10,7333.44,1.84765,2.67713,1.90326,0.286,0.29213,0.21385,0.07729,1.92799,3.53375,2.00435,0.001109,0.001109,0.001109
11,8804.54,1.82944,2.61796,1.88331,0.3051,0.24166,0.19624,0.0691,1.94512,3.34207,2.01073,0.00101,0.00101,0.00101
12,10241.8,1.79008,2.57266,1.86425,0.32078,0.24062,0.20349,0.0715,1.96264,3.32229,2.04582,0.000911,0.000911,0.000911
